B1,B2,B3,Cloud_Cover,Cloud_Cover_Land,Image_ID,Image_Quality_OLI,Image_Quality_TIRS,MNDWI,NDBI,NDVI,QA_PIXEL,Timestamp,.geo
14631,13587,12729,88.83,88.83,LC09_230062_20230105,9.0,9.0,-0.094472504801878,-0.2579462692326243,0.3904675587780561,54596,2023-01-05T14:07:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
11827,10780,10189,92.01,92.01,LC09_230062_20230121,9.0,9.0,-0.1468285534854511,-0.2500479123887748,0.4288217806290095,23888,2023-01-21T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
13195,12127,11472,92.01,92.01,LC09_230062_20230121,9.0,9.0,-0.1292269156324718,-0.1850675138999205,0.3512804497189257,24144,2023-01-21T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10991,9733,8680,92.01,92.01,LC09_230062_20230121,9.0,9.0,-0.0917651982839803,-0.2891402098378525,0.4444826138402229,23888,2023-01-21T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11501,10265,8725,92.01,92.01,LC09_230062_20230121,9.0,9.0,0.0220217875131779,-0.2241427376637859,0.2633547520859307,23888,2023-01-21T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10900,9586,8215,92.01,92.01,LC09_230062_20230121,9.0,9.0,-0.0216744075264975,-0.1903930543103855,0.2831493820253293,23888,2023-01-21T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
11152,9897,9093,92.01,92.01,LC09_230062_20230121,9.0,9.0,-0.1266807529773338,-0.2392347600518806,0.4265238326303609,23888,2023-01-21T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
12646,11432,10576,92.01,92.01,LC09_230062_20230121,9.0,9.0,-0.1300843100966481,-0.18200762086211,0.355246091883405,23888,2023-01-21T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
12013,10807,10037,92.01,92.01,LC09_230062_20230121,9.0,9.0,-0.1543872951682884,-0.2288383610986042,0.4333825701624815,23888,2023-01-21T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
14007,13044,12591,92.01,92.01,LC09_230062_20230121,9.0,9.0,-0.1863125242341993,-0.1936659931476763,0.4078487242585157,23888,2023-01-21T14:07:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10825,9537,8456,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0726544936118879,-0.2835744369163157,0.4173979860071986,23888,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11056,9878,9085,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1038224414303329,-0.1992271361099184,0.355770397637636,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
10930,9703,8466,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0880103414844339,-0.2554916703523515,0.4059765560508502,23826,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
13841,12943,12562,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0947937308593046,-0.2346481285577552,0.3713630259623993,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11929,10765,9652,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.1160362670574228,-0.2591421710186339,0.4256900943071522,23888,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
12601,11104,10652,67.47,67.47,LC09_230062_20230206,9.0,9.0,-0.0741819129981313,-0.1400640133593097,0.2824325910851955,24082,2023-02-06T14:07:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
